source,target,rep,ratio,baseline,standard,weighted
Jordan,Florida,16,0.1,0.4704724409448819,0.4311023622047244,0.4645669291338583
Jordan,Florida,16,0.2,0.4507874015748031,0.4468503937007874,0.43503937007874016
Jordan,Florida,17,0.05,0.5636942675159236,0.5238853503184714,0.5843949044585988
Jordan,Florida,17,0.1,0.5270700636942676,0.5031847133757962,0.5031847133757962
Jordan,Florida,17,0.2,0.6353503184713376,0.5207006369426752,0.517515923566879
Jordan,Florida,18,0.05,0.5463576158940397,0.4735099337748344,0.47516556291390727
Jordan,Florida,18,0.1,0.7185430463576159,0.543046357615894,0.4917218543046358
Jordan,Florida,18,0.2,0.5264900662251656,0.45695364238410596,0.3990066225165563
Jordan,Florida,19,0.05,0.8197969543147208,0.6878172588832487,0.6878172588832487
Jordan,Florida,19,0.1,0.7614213197969543,0.7969543147208121,0.8121827411167513
Jordan,Florida,19,0.2,0.7842639593908629,0.8248730964467005,0.8451776649746193
Jordan,California,0,0.05,0.5473684210526316,0.6236842105263158,0.6263157894736842
Jordan,California,0,0.1,0.5570175438596491,0.6640350877192982,0.5921052631578947
Jordan,California,0,0.2,0.6394736842105263,0.6991228070175438,0.6298245614035087
Jordan,California,1,0.05,0.9338422391857506,0.916030534351145,0.9402035623409669
Jordan,California,1,0.1,0.9020356234096693,0.9173027989821882,0.9223918575063613
Jordan,California,1,0.2,0.8002544529262087,0.5852417302798982,0.811704834605598
Jordan,California,2,0.05,0.9186507936507936,0.8630952380952381,0.9265873015873016
Jordan,California,2,0.1,0.8293650793650794,0.7837301587301587,0.7797619047619048
Jordan,California,2,0.2,0.7003968253968254,0.6944444444444444,0.8968253968253969
Jordan,California,3,0.05,0.7960199004975125,0.8370646766169154,0.804726368159204
Jordan,California,3,0.1,0.746268656716418,0.8333333333333334,0.7027363184079602
Jordan,California,3,0.2,0.7997512437810945,0.818407960199005,0.849502487562189
Jordan,California,4,0.05,0.4149305555555556,0.4583333333333333,0.4375
Jordan,California,4,0.1,0.6180555555555556,0.5694444444444444,0.6493055555555556
Jordan,California,4,0.2,0.2864583333333333,0.4548611111111111,0.7517361111111112
Jordan,California,5,0.05,0.5295823665893271,0.7238979118329466,0.7238979118329466
Jordan,California,5,0.1,0.70707656612529,0.8068445475638051,0.781322505800464
Jordan,California,5,0.2,0.6165893271461717,0.7122969837587007,0.7151972157772621
Jordan,California,6,0.05,0.5622923588039868,0.7583056478405316,0.7358803986710963
Jordan,California,6,0.1,0.5249169435215947,0.7591362126245847,0.867109634551495
Jordan,California,6,0.2,0.8181063122923588,0.8289036544850499,0.8355481727574751
Jordan,California,7,0.05,0.5176565008025682,0.4695024077046549,0.41653290529695025
Jordan,California,7,0.1,0.5272873194221509,0.45024077046548955,0.4518459069020867
Jordan,California,7,0.2,0.6749598715890851,0.673354735152488,0.6404494382022472
Jordan,California,8,0.05,0.9087982832618026,0.776824034334764,0.7811158798283262
Jordan,California,8,0.1,0.5,0.657725321888412,0.621244635193133
Jordan,California,8,0.2,0.6351931330472103,0.5697424892703863,0.6695278969957081
Jordan,California,9,0.05,0.6920955882352942,0.7205882352941176,0.7205882352941176
Jordan,California,9,0.1,0.6305147058823529,0.7555147058823529,0.7297794117647058
Jordan,California,9,0.2,0.46047794117647056,0.6286764705882353,0.5799632352941176
Jordan,California,10,0.05,0.5795019157088123,0.6235632183908046,0.6331417624521073
Jordan,California,10,0.1,0.7442528735632183,0.6254789272030651,0.6369731800766284
Jordan,California,10,0.2,0.5363984674329502,0.592911877394636,0.6494252873563219
Jordan,California,11,0.05,0.6509090909090909,0.6672727272727272,0.66
Jordan,California,11,0.1,0.6290909090909091,0.7181818181818181,0.7363636363636363
Jordan,California,11,0.2,0.7836363636363637,0.8781818181818182,0.8545454545454545
Jordan,California,12,0.05,0.4020061728395062,0.5601851851851852,0.5524691358024691
Jordan,California,12,0.1,0.5339506172839507,0.5748456790123457,0.7191358024691358
Jordan,California,12,0.2,0.48996913580246915,0.4807098765432099,0.5655864197530864
Jordan,California,13,0.05,0.8017142857142857,0.8291428571428572,0.8314285714285714
Jordan,California,13,0.1,0.6257142857142857,0.7794285714285715,0.7817142857142857
Jordan,California,13,0.2,0.8417142857142857,0.7851428571428571,0.6102857142857143
Jordan,California,14,0.05,0.40795454545454546,0.509090909090909,0.5329545454545455
Jordan,California,14,0.1,0.4784090909090909,0.4965909090909091,0.4954545454545455
Jordan,California,14,0.2,0.41704545454545455,0.5556818181818182,0.5738636363636364
Jordan,California,15,0.05,0.5,0.7106227106227107,0.7106227106227107
Jordan,California,15,0.1,0.39316239316239315,0.7368742368742369,0.7362637362637363
Jordan,California,15,0.2,0.3974358974358974,0.7484737484737485,0.6684981684981685
Jordan,California,16,0.05,0.4092558983666062,0.48911070780399274,0.530852994555354
Jordan,California,16,0.1,0.3856624319419238,0.691470054446461,0.676950998185118
Jordan,California,16,0.2,0.6424682395644283,0.7450090744101633,0.8021778584392014
Jordan,California,17,0.05,0.5905587668593449,0.6854527938342967,0.6854527938342967
Jordan,California,17,0.1,0.5327552986512524,0.7957610789980732,0.7774566473988439
Jordan,California,17,0.2,0.6772639691714836,0.6445086705202312,0.7456647398843931
Jordan,California,18,0.05,0.6079943899018233,0.5638148667601683,0.5610098176718092
Jordan,California,18,0.1,0.6451612903225806,0.6718092566619915,0.6612903225806451
Jordan,California,18,0.2,0.4396914446002805,0.7124824684431977,0.7279102384291725
Jordan,California,19,0.05,0.671875,0.6120923913043478,0.6188858695652174
Jordan,California,19,0.1,0.704483695652174,0.5536684782608695,0.4938858695652174
